Inventarisatie tappunten waterleiding;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Object;;Maashorst;;;;;;;;;;;;
Opdrachtgever;;RIF FM BV ;Tel nr locatie:;06-13545368;;;;;;;;;;
Adres;;Mgr Suijsstraat 8;Contactpersoon:;Dhr N Hermkens;;;;;;;;;;
Woonplaats;;Reek;Datum opname:;Week 28, 2015;;;;;;;;;;
;;;;;;;;;;;;;;
Contr.;Ruimte;Apparatuur/      ;Type;Aanwezige;Bev.;Totaal;;;;Goedgekeurd;Afgekeurd;Opmerkingen;;
Nr.;Nr.;Aansluiting/;;Beveiliging;Code;aantal;EA;CA;Inlaat;;;;;
;;Merk;;;;;;;;;;;;
;Hoofdgebouw;;;;;;;;;;;;;
1;Watermeterput;Watermeter Qn 3,5;;Contr. KK;EA;1;1;;;a;;;;
8;Gang Nabij receptie;Brandslanghaspel;;Contr. KK;EA;1;1;;;a;;;;
63;Kantine;Vaatwasser;;Beluchter met niet contr. KK;DA/EB;1;1;;;;;;;
3;;Koffie Apparaat;;Beluchter met niet contr. KK;DA/EB;1;;;1;;;;;
9;Kantine;Boiler ;Daalderop 80L;Inlaatcombinatie;;1;;;1;a;;;;
9a;Kantine;Koffie Apparaat;;Inlaatcombinatie ;EA;1;;;1;a;;;;
9b;Kantine;Vaatwasser;;;DAEB;1;1;;;a;;;;
2;Groepsruimte Ienie Mienie;Close in boiler;Daalderop close in 10;Inlaatcombinatie;;1;;;1;a;;;;
3;Buiten via Ienie Mienie;Buitenkraan (vorstvrij);;Contr. KK;EA;1;1;;;a;;;;
4;Groepsruimte Dikkie Dik;Close in boiler;Daalderop close in 10;Inlaatcombinatie;;1;;;1;a;;;;
5;Gang nabij Dikkie Dik;Brandslanghaspel;;Contr. KK;EA;1;1;;;a;;;;
6;Kantoor 1;Close in boiler;Daalderop close in 10;Inlaatcombinatie;;1;;;1;a;;;;
7;Kantoor 2;Close in boiler;Daalderop close in 10;Inlaatcombinatie;;1;;;1;a;;;;
10;Gang nabij kantoren;Brandslanghaspel;;Contr. KK;EA;1;1;;;a;;;;
;1e verdieping;;;;;;;;;;;;;
11;Gang;Brandslanghaspel;;Contr. KK;EA;1;1;;;a;;;;
15;;CV vulpunt;;Beluchter met niet contr. KK;DA/EB;;;;;;;;;
13;CV ruimte;CV vulpunt;;Onderbr. Met verschildruk-zone;CA;1;;1;;a;;;;
;Civiele Dienst;;;;;;;;;;;;;
40;Meterkast;Watermeter;;Contr. KK;EA;1;1;;;a;;;;
19;Keuken;Vaatwasser;;Beluchter met niet contr. KK;DA/EB;;;;;;;;;
20;Wasserij;Wasmachine 1;;Beluchter met niet contr. KK;DA/EB;;;;;;;;;
21;;Wasmachine 2;;Beluchter met niet contr. KK;DA/EB;;;;;;;;;
41;CV ruimte;CV combiketel;Nefit HR;Inlaatcombinatie;;1;;;1;a;;;;
23;;CV vulpunt;;Beluchter met niet contr. KK;DA/EB;;;;;;;;;
41a;CV ruimte;Vulkraan;;Inlaatcombinatie;EA;1;;;1;a;;;;
45;Washok;Wm;;;EA;1;1;;;a;;;;
46;Washok;Wm;;;EA;1;1;;;a;;;;
;;;;;;;;;;;;;;
;Robijn 1;;;;;;;;;;;;;
14;Meterkast;Watermeter;;Contr. KK;EA;1;1;;;a;;;;
15;;Aansluiting buitenkraan;;Contr. KK;EA;1;1;;;a;;;;
16                &             17;Keuken;Mengventiel ;;2 * contr. KK;EA;2;2;;;a;;;;
;;;;;;;;;;;;Kogelafsluiter met klep;;
;;Vaatwasser;;Beluchter met niet contr. KK;DA/EB;;;;;;;;;
;Keuken;Kogelafsluiter met klep;;Koude poort en warme poort;;;;;;a;;;;
18;;Vaatwasser;;;;1;1;;;a;;;;
