Inventarisatie tappunten waterleiding;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Object;;Maashorst;;;;;;;;;;;;
Opdrachtgever;;RIF FM BV ;Tel nr locatie:;06-13545368;;;;;;;;;;
Adres;;Rijnstraat 16;Contactpersoon:;Dhr N Hermkens;;;;;;;;;;
Woonplaats;;Den Bosch;Datum opname:;Week 28, 2015;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Contr.;Ruimte;Apparatuur/      ;Type;Aanwezige;Bev.;Totaal;;;;Goedgekeurd;Afgekeurd;Opmerkingen;;
Nr.;Nr.;Aansluiting/;;Beveiliging;Code;aantal;EA;CA;Inlaat;;;;;
;;Merk;;;;;;;;;;;;
;1e verdieping;;;;;;;;;;;;;
1;Installatieruimte;Boiler;NIBE PUB 2 DS1 160;Inlaatcombinatie;;1;;;1;a;;;;
2;;Circulatieleiding (perszijde pomp);;Contr. KK;EA;1;1;;;a;;;;
3;;CV vulpunt;;Onderbr. Met verschildruk-zone;CA;1;;1;;a;;;;
4;;Aftakking toevoerleiding naar BSH;;Contr. KK;EA;1;1;;;a;;;;
;Begane grond;;;;;;;;;a;;;;
5;Gang;Brandslanghaspel;;Contr. KK;EA;1;1;;;a;;;;
10;Plafond toilet;Aansluitleiding buitenkraan;;Contr. KK;EA;1;1;;;a;;;;
11;Plafond toilet;Aansluitleiding buitenkraan;;Contr. KK;EA;1;1;;;a;;;;
12;Plafond toilet;Aansluitleiding buitenkraan;;Contr. KK;EA;1;1;;;a;;;;
6;Gang ;Brandslanghaspel;;Contr. KK;EA;1;1;;;a;;;;
8;Keuken ;Koffieapparaat met waterfilter;;Contr. KK;EA;1;1;;;a;;;;
9;Cliëntenburo ;Boiler;Stiebel Eltron 10;Inlaatcombinatie;;1;;;1;a;;;;
7;Keuken ;Vaatwasser ;;Wasmachinekraan ;DA/EB;1;;;;a;;;;
13;Washok;Wm;;;EA;1;;;;a;;Keerklep geplaatst;;
14;Washok;Wm;;;EA;1;;;;a;;Keerklep geplaatst;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;Totaal aantal per type;;;8;1;2;;;;;
;;;;;;;;;;;;;;
;;;;Totaal aantal ;;14;;;;;;;;
