Monteur : M Gutte;;
Adres       : Heikantsebaan 42;;
;;
Locatie;Tappunt;Temp.
Keuken;Keukenmengkraan;38,4 C°
Slaapkamer;wastafelmengkraan;38,1 C°
;Douchemengkraan ;39,2 C°
Badkamer klein;wastafelmengkraan;39,2 C°
;Douchemengkraan ;38,4 C°
Badkamer groot;wastafelmengkraan;38,1 C°
;Douchemengkraan ;38,4 C°
Slaapkamer;wastafelmengkraan;38,1 C°
Slaapkamer 1e verd.;wastafelmengkraan;39,4 C°
;Douchemengkraan ;38,7 C°
Slaapkamer 1e verd.;wastafelmengkraan;39,1 C°
;Douchemengkraan ;38,7 C°
Slaapkamer 1e verd.;wastafelmengkraan;36,8 C°
;Douchemengkraan ;39,1 C°
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
