;;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;;
;;Bco Brandpreventie;;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;;Poederblussers;;
;;;;;;;;;;Koolstofblussers;;
Klant:;Kemkens;;Naam monteur:;John Nederkoorn;;;;;;Slangenhaspels-water;;
Locatie:;P.I. Vught - Gebouw 90;;Datum:;Week 25 2015;;;;;;Blusdekens;;
Adres:;Lunettenlaan 501, Vught;;Complexnr: ;100191G28;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;;Reden afkeur;;
1;Vergaderruimte;Saval;BSH 20 m;water;2002;2013;40 l/min;a;H90.003;;;
2;Kantoor;BCO  ;EFS 6;schuim;2013;;;a;B90.002;;;
3;Werkplaats metaal;Saval;BSH 20 m;water;2002;2013;40 l/min;a;H90.002;;;
4;Werkplaats metaal;Gloria;ks 5 se;CO2;2006;;;a;B90.004;;;
5;Werkplaats metaal;Saval;BSH 20 m;water;2002;2013;38 l/min;a;H90.001;;;
6;Werkplaats metaal;BCO;MC5;CO2;2013;;;a;B90.003;;;
7;Kantoor metaal;Smeba;MF 60;schuim;2011;;;a;B90.001;;;
  Ev. Opmerkingen:;;;;;;;;;;;;
;2x blusdeken;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
