;;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;;
;;Bco Brandpreventie;;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;;Poederblussers;;
;;;;;;;;;;Koolstofblussers;;
Klant:;Kemkens;;Naam monteur:;J. Nederkoorn;;;;;;Slangenhaspels-water;;
Locatie:;PI Vught - Unit4: Gebouw 88;;Datum:;Week 27, 2015;;;;;;Blusdekens;;
Adres:;Lunettenlaan 501;;Complexnr:;100191G26;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;;Reden afkeur;;
H88.001;Unit 88 B.G.;Saval;B.S.H. 20m;Water;1998;2013;36 l/min;a;;;;
H88.101;Unit 88 1e verdieping;Saval;B.S.H. 20m;Water;1998;2013;34 l/min;a;;;;
H88.201;Unit 88 2e verdieping;Saval;B.S.H. 20m;Water;1998;2013;34 l/min;a;;;;
  Ev. Opmerkingen:;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
