;;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;;
;;Bco Brandpreventie;;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;;Poederblussers;;
;;;;;;;;;;Koolstofblussers;;
Klant:;Kemkens;;Naam monteur:;John Nederkoorn;;;;;;Slangenhaspels-water;;
Locatie:;P.I. Vught - gebouw 95;;Datum:;Week 22 2015;;;;;;Blusdekens;;
Adres:;Lunettenlaan 501;;Complexnr:;100191G14;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;;Reden afkeur;;
1;Bij ingang inpak;Ajax;BSH 25 m;water;1988;2013;28 l/min;a;H95.001;;;
2;Bij ingang inpak;BCO;EFS6;schuim;2014;;;a;B95.001;;;
3;Co spuiterij;Ajax;BSH 25 m;water;1988;2013;36 l/min;a;H95.002;;;
4;Coating spuiterij;Smeba;MF 60;schuim;2012;;;a;B95.002;;;
5;Coating spuiterij;Gloria;BSH 20 m;water;onbekend;2013;40 l/min;a;H95.003;;;
6;Coating spuiterij;Smeba;MF 60;schuim;2012;;;a;B95.003;;;
7;Container buiten;BCO;EPS 6;poeder;2015;;;a;BC.003;;;
  Ev. Opmerkingen:;;;;;;;;;;;;
;1x Blusdeken;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
