;;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;;
;;Bco Brandpreventie;;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;;Poederblussers;;
;;;;;;;;;;Koolstofblussers;;
Klant:;Kemkens;;Naam monteur:;John Nederkoorn;;;;;;Slangenhaspels-water;;
Locatie:;P.I. Vught - gebouw 44 milieustr.;;Datum:;Week 25 2015;;;;;;Blusdekens;;
Adres:;Lunettenlaan 501;;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;;Reden afkeur;;
1;Milieustraat;BCO;EPS 6;Poeder;2015;;;a;BM001;Vernieuwd;;
2;Milieustraat;BCO;EPS 6;Poeder;2015;;;a;BM002;Vernieuwd;;
3;Milieustraat;Ajax;GP6;Poeder;2010;;;a;BM003;;;
4;Milieustraat;Smeba;MC5A;CO2;2012;;;a;BM005;;;
  Ev. Opmerkingen:;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
