;;;Onderhoudsrapport;;;;;
;;;;;;;;
;;;BCO Brandpreventie;;;;;
;;;Galliershof 22;;;;;
;;;5349 BV Oss;;;;;
;;;;;;;;
Klant: Gemeente Oss;;;Naam monteur: Marty Gutte;;;;;
Locatie: Gymzaal Megen;;;Datum: December, 2015;;;;;
Adres: Maasdijk 48, Megen;;;Complexnr: ;;;;;
;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF)
1;;ketelhok;watermeter;;;JA;;
2;;ketelhok;spoelkraan;;;JA;1/2;schroef
3;;ketelhok;inlaatcombi;;;JA;Ø22;knel
4;;ketelhok;vulkraan;;;JA;1/2;schroef
5;;ketelhok;circulatieleiding;;;JA;Ø15;knel
6;;gang kleedkamers;BSH;;;JA;;
7;;gang kleedkamers bijzaal;BSH;;;JA;;
8;;zaal bij lift uitgang;BSH;;;JA;;
Keerklep:;;Opmerking:;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
