Inventarisatie tappunten waterleiding;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Object;;St Anna ;;;;;;;;;;;;
Opdrachtgever;;RIF FM BV ;Tel nr locatie:;0475-320067;;;;;;;;;;
Adres;;Donderbergweg 67;Contactpersoon:; ---;;;;;;;;;;
Woonplaats;;Roermond;Datum opname:;jun-15;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Contr.;Ruimte;Apparatuur/      ;Type;Aanwezige;Bev.;Totaal;;;;Goedgekeurd;Afgekeurd;Opmerkingen;;
Nr.;Nr.;Aansluiting/;;Beveiliging;Code;aantal;EA;CA;Inlaat;;;;;
;;Merk;;;;;;;;;;;;
;Begane grond;;;;;;;;;;;;;
1;Meterkast;Aansluiting BSH;;;EA;1;1;;;V;;;;
2;Keuken;Wasmachinekraan;;;EA;1;1;;;V;;Keerklep geplaatst;;
3;Washok;Wasmachinekraan;;;EA;1;1;;;V;;;;
;1e Verdieping;;;;;;;;;;;;;
6;Installatieruimte;Boiler;;;;1;;;1;V;;;;
7;Installatieruimte;Vulkraan;;;;1;1;;;V;;;;
8;Installatieruimte;Circulatieleiding (perszijde pomp);;Contr. KK ;EA;1;1;;;V;;;;
;;;;;;;;;;;;;;
;;;;Totaal aantal per type;;;5;0;1;;;;;
;;;;;;;;;;;;;;
;;;;Totaal aantal ;;6;;;;;;;;
