Inventarisatie tappunten waterleiding;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Object;;St Anna ;;;;;;;;;;;;
Opdrachtgever;;RIF FM BV ;Tel nr locatie:;0475-579700;;;;;;;;;;
Adres;;Mgr Savelbergweg 104 - Centraal Terrein;Contactpersoon:;Dhr M van Gennip     (06-10246572);;;;;;;;;;
Woonplaats;;Heel;Datum opname:;Week 28, 2015;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Contr.;Ruimte;Apparatuur/      ;Type;Aanwezige;Bev.;Totaal;;;;Goedgekeurd;Afgekeurd;Opmerkingen;;
Nr.;Nr.;Aansluiting/;;Beveiliging;Code;aantal;EA;CA;Inlaat;;;;;
;;Merk;;;;;;;;;;;;
;Ketelhuis Souterrain TD;;;;;;;;;;;;;
1;Ketelhuis Souterrain TD;aftakking 1 kw recreactie magazijn;EA;;;1;;;;V;;;;
2;Ketelhuis Souterrain TD;aftakking2  kw verdeler;EA;;;1;;;;V;;;;
3;Ketelhuis Souterrain TD;tappunt 3 verdeler;DA/EB;;;1;;;;V;;;;
6;Ketelhuis Souterrain TD;ontharder;CA;;;1;;;;V;;Stopkraan geplaatst;;
7;Ketelhuis Souterrain TD;bypass ontharder;EA;;;1;;;;V;;;;
8;Ketelhuis Souterrain TD;bypass naar voeding boiler;EA;;;1;;;;V;;;;
9;Ketelhuis Souterrain TD;boiler;inlaat combi;;;1;;;;V;;;;
10;Ketelhuis Souterrain TD;tappunt ww verdeler;DA/EB;;;1;;;;V;;;;
11;Ketelhuis Souterrain TD;circulatie leiding boiler;EA;;;1;;;;V;;Kogelkranen dicht;;
12;Ketelhuis Souterrain TD;vulpunt;CA;;;1;;;;V;;;;
13;Ketelhuis Souterrain TD;toevoer leiding kw naar keuken;CA;;;1;;;;V;;;;
15;Kleedkamer dames;toevoer ww;CA;boven plafond;;1;;;;V;;Stopkraan geplaatst;;
16;Kleedkamer dames;toevoer kw;CA;boven plafond;;1;;;;V;;Stopkraan geplaatst en CA vervangen;;
17;kelder keuken plafond;aftakking ww doseer apparaat;CA;plafond;;1;;;;V;;Stopkraan geplaatst;;
18;kelder keuken plafond;aftakking kw doseer apparaat;CA;plafond;;1;;;;V;;Stopkraan geplaatst;;
19;kelder keuken plafond;aftakking kw naar doseer app.;EA;plafond;;1;;;;V;;;;
20;kelder keuken plafond;aftakking kw bordendouche;EA;plafond;;1;;;;V;;;;
21;magazijn van keuken;thermo kraan kw;CA;plafond;;1;;;;V;;Stopkraan geplaatst;;
22;magazijn van keuken;thermo kraan ww;CA;plafond;;1;;;;V;;;;
23;magazijn van keuken;aftakking kw indus. Vaatwasser;CA;plafond;;1;;;;V;;Stopkraan geplaatst;;
24;magazijn TD;brandslanghaspel;EA;plafond;;1;;;;V;;;;
25;magazijn TD;aftakking kw watercooler;EA;plafond;;1;;;;V;;;;
26;magazijn TD;aftakking kw koffieautomaat;EA;plafond;;1;;;;V;;;;
27;kelder keuken algemeen;aftakking BSH naar gang;EA;;;1;;;;V;;;;
28;kelder keuken algemeen;aftakking naar pantry copy;EA;;;1;;;;V;;;;
29;kelder keuken algemeen;aftakking BSH magazijn;EA;;;1;;;;V;;;;
30;cv ruimte magazijn;toevoer flat;EA;;;1;;;;V;;;;
31;cv ruimte magazijn;aftakking BSH hal begane grond;EA;;;1;;;;V;;;;
32;opslag collegezaal;aftakking kw BSH gang begane grond;EA;;;1;;;;V;;;;
33;kelder drankruimte;boiler inlaatcombi;EA;;;1;;;;V;;;;
34;werkhof 1;boiler inlaatcombi;EA;;;1;;;;V;;;;
35;werkhof 2;boiler inlaatcombi;EA;;;1;;;;V;;;;
36;werkhof 3;boiler inlaatcombi;EA;;;1;;;;V;;;;
37;werkhof 4;boiler inlaatcombi;EA;;;1;;;;V;;;;
38;werkhof 5;boiler inlaatcombi;EA;;;1;;;;V;;;;
39;werkhof 6;boiler inlaatcombi;EA;;;1;;;;V;;;;
40;verzorgingsruimte werkhof;boiler inlaatcombi;EA;in plafond;;1;;;;V;;;;
41;kelder installatie ruimte;BSH gezamenlijk;EA;;;1;;;;V;;;;
