Inventarisatie tappunten waterleiding;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Object;;St Anna ;;;;;;;;;;;;
Opdrachtgever;;RIF FM BV ;Tel nr locatie:;0475-579700;;;;;;;;;;
Adres;;Woning F-Polderhof 7;Contactpersoon:;Dhr M van Gennip of Dhr J Beurskens;;;;;;;;;;
Woonplaats;;Heel;Datum opname:;jun-15;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Contr.;Ruimte;Apparatuur/      ;Type;Aanwezige;Bev.;Totaal;;;;Goedgekeurd;Afgekeurd;Opmerkingen;;
Nr.;Nr.;Aansluiting/;;Beveiliging;Code;aantal;EA;CA;Inlaat;;;;;
;;Merk;;;;;;;;;;;;
;Begane grond;;;;;;;;;;;;;
1;Gang nabij kruipruimte;Brandslanghaspel;;Contr. KK ;EA;1;1;;;V;;;;
;;;;(aftakking naar BSH in de kruipruimte);;;;;;;;;;
2;Washok;Wasmachinekraan;;;EA;1;1;;;V;;;;
3;Keuken;Wasmachinekraan;;;EA;1;1;;;V;;;;
4;;Aftakking naar buitenkraan (kruipruimte);;Contr. KK;EA;1;1;;;V;;;;
;1e verdieping;;;;;;;;;;;;;
5;CV ruimte;Boiler;;Inlaatcombinatie;;1;;;1;V;;;;
6;;Circulatieleiding (perszijde pomp);;Contr. KK;EA;1;1;;;V;;;;
7;;Vulkraan;;Contr. KK;EA;1;1;;;V;;;;
;;;;;;;;;;;;;;
;;;;Totaal aantal per type;;;6;0;1;;;;;
;;;;;;;;;;;;;;
;;;;Totaal aantal ;;7;;;;;;;;
