Inventarisatie tappunten waterleiding;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Object;;St Anna ;;;;;;;;;;;;
Opdrachtgever;;RIF FM BV ;Tel nr locatie:;0475-579700;;;;;;;;;;
Adres;;Woning Q-Polderhof 13;Contactpersoon:;Dhr M van Gennip of Dhr J Beurskens;;;;;;;;;;
Woonplaats;;Heel;Datum opname:;jun-14;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Contr.;Ruimte;Apparatuur/      ;Type;Aanwezige;Bev.;Totaal;;;;Goedgekeurd;Afgekeurd;Opmerkingen;;
Nr.;Nr.;Aansluiting/;;Beveiliging;Code;aantal;EA;CA;Inlaat;;;;;
;;Merk;;;;;;;;;;;;
;Begane grond;;;;;;;;;;;;;
1;Gang nabij kruipruimte;Brandslanghaspel;;Contr. KK ;EA;1;1;;;V;;;;
;;;;(aftakking naar BSH in de kruipruimte);;;;;;;;;;
2;Washok;WMK;;;EA;1;1;;;V;;;;
3;Keuken;Buitenkraan;;;EA;1;1;;;V;;;;
4;;Vaatwasser;;Contr. KK;EA;1;1;;;V;;Keerklep zit achter plaat keuken;;
;1e verdieping;;;;;;;;;;;;;
5;CV ruimte;Boiler;;Inlaatcombinatie;;1;;;1;V;;;;
6;;Circulatieleiding (perszijde pomp);;Contr. KK;EA;1;1;;;V;;;;
7;;Vulkraan;;Contr. KK;EA;1;1;;;V;;;;
;;;;;;;;;;;;;;
;;;;Totaal aantal per type;;;6;0;1;;;;;
;;;;;;;;;;;;;;
;;;;Totaal aantal ;;7;;;;;;;;
