Inventarisatie tappunten waterleiding;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Object;;St Anna ;;;;;;;;;;;;
Opdrachtgever;;RIF FM BV ;Tel nr locatie:;0495-547625;;;;;;;;;;
Adres;;Paltrokmolen 130;Contactpersoon:; ---;;;;;;;;;;
Woonplaats;;Weert;Datum opname:;jun-15;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Contr.;Ruimte;Apparatuur/      ;Type;Aanwezige;Bev.;Totaal;;;;Goedgekeurd;Afgekeurd;Opmerkingen;;
Nr.;Nr.;Aansluiting/;;Beveiliging;Code;aantal;EA;CA;Inlaat;;;;;
;;Merk;;;;;;;;;;;;
1;BG Meterkast;Aansluiting buitenkraan;;;EA;1;1;;;;;;;
2;BG Hal;Brandslanghaspel;;;EA;1;1;;;;;;;
3;BG Washok;Wasmachinekraan;;;EA;1;1;;;;;;;
4;BG Keuken;Wasmachinekraan;;;EA;1;1;;;;;;;
5;1e Gang;Brandslanghaspel;;;EA;1;1;;;;;;;
6;1e Installatie ruimte;Boiler, inlaatcombinatie;;;EA;1;;;1;;;;;
7;1e Installatie ruimte;Vulkraan;;;EA;1;1;;;;;;;
8;1e Installatie ruimte;Circulatieleiding (perszijde pomp);;;EA;1;1;;;;;;;
9;1e Installatie ruimte;WW afsluiter + toevoer;;;EA;1;1;;;;;;;
;;;;;;;;;;;;;;
;;;;Totaal aantal per type;;;7;0;1;;;;;
;;;;;;;;;;;;;;
;;;;Totaal aantal ;;9;;;;;;;;
