Inventarisatie tappunten waterleiding;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Object;;St Anna ;;;;;;;;;;;;
Opdrachtgever;;RIF FM BV ;Tel nr locatie:;0495-547625;;;;;;;;;;
Adres;;Paltrokmolen 128;Contactpersoon:; ---;;;;;;;;;;
Woonplaats;;Weert;Datum opname:;jun-15;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Contr.;Ruimte;Apparatuur/      ;Type;Aanwezige;Bev.;Totaal;;;;Goedgekeurd;Afgekeurd;Opmerkingen;;
Nr.;Nr.;Aansluiting/;;Beveiliging;Code;aantal;EA;CA;Inlaat;;;;;
;;Merk;;;;;;;;;;;;
1;BG Meterkast;Aansluiting buitenkraan;;Contr. KK ;EA;1;;;;;;;;
2;BG Hal;Brandslanghaspel;;Contr. KK ;EA;1;1;;;;;;;
3;BG Washok;Wasmachinekraan;;;EA;1;1;;;;;;;
4;BG Keuken vaatwasser;Wasmachinekraan;;;EA;1;;;;;;;;
5;1e Gang;Brandslanghaspel;;Contr. KK ;EA;1;1;;;;;;;
6;2e Installatie ruimte;Boiler;;Inlaatcombinatie;EA;1;1;;;;;;;
7;2e Installatie ruimte;Vulkraan;;;;1;;;;;;;;
8;2e Installatie ruimte;Circulatieleiding (perszijde pomp);;;EA;1;1;;;;;;;
;;;;;;;;;;;;;;
;;;;Totaal aantal per type;;;5;0;0;;;;;
;;;;;;;;;;;;;;
;;;;Totaal aantal ;;8;;;;;;;;
