Inventarisatie tappunten waterleiding;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Object;;St Anna ;;;;;;;;;;;;
Opdrachtgever;;RIF FM BV ;Tel nr locatie:;0475-579700 (laten doorverbinden);;;;;;;;;;
Adres;;Heerepad 17;Contactpersoon:; ---;;;;;;;;;;
Woonplaats;;Heel;Datum opname:;jun-15;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Contr.;Ruimte;Apparatuur/      ;Type;Aanwezige;Bev.;Totaal;;;;Goedgekeurd;Afgekeurd;Opmerkingen;;
Nr.;Nr.;Aansluiting/;;Beveiliging;Code;aantal;EA;CA;Inlaat;;;;;
;;Merk;;;;;;;;;;;;
;Begane grond;;;;;;;;;;;;;
1;Keuken;Wasmachinekraan;;;EA;1;1;;;V;;;;
2;Washok;Wasmachinekraan;;;EA;1;1;;;V;;Keerklep geplaatst;;
3;Buiten;Buitenkraan;;;EA;1;1;;;V;;;;
;Zolder;;;;;;;;;;;;;
4;Zolder;Vulkraan;;;EA;1;1;;;V;;;;
5;Zolder;Circulatieruimte;;;EA;1;1;;;V;;;;
6;Zolder;Inlaat combinatie;;;;1;;;1;V;;;;
;;;;;;;;;;;;;;
;;;;Totaal aantal per type;;;5;0;1;;;;;
;;;;;;;;;;;;;;
;;;;Totaal aantal ;;6;;;;;;;;
