Inventarisatie tappunten waterleiding;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Object;;St Anna ;;;;;;;;;;;;
Opdrachtgever;;RIF FM BV ;Tel nr locatie:;0475-579700;;;;;;;;;;
Adres;;Mgr Savelbergweg 104 ;Contactpersoon:;Dhr M van Gennip of Dhr J Beurskens;;;;;;;;;;
Woonplaats;;Heel;Datum opname:;Week 28, 2015;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Contr.;Ruimte;Apparatuur/      ;Type;Aanwezige;Bev.;Totaal;;;;Goedgekeurd;Afgekeurd;Opmerkingen;;
Nr.;Nr.;Aansluiting/;;Beveiliging;Code;aantal;EA;CA;Inlaat;;;;;
;;Merk;;;;;;;;;;;;
;Energie gebouw;;;;;;;;;;;;;
E2;Kelder;Toevoerleiding CV vulpunt;;Onderbr. Met verschildruk-zone;CA;1;;1;;V;;;;
E3;;Watermeter Qn 10;;Contr. KK;EA;1;1;;;V;;;;
;Kapellaan 8;;;;;;;;;;;;;
;Begane grond;;;;;;;;;;;;;
1a;Hal;Watermeter;;;EA;1;1;;;V;;;;
K8-1;Hal;Brandslanghaspel;;;EA;1;1;;;V;;;;
K8-2;Keuken;Wasmachinekraan vw;;;EA;1;1;;;V;;;;
K8-3;Gang kamers;Brandslanghaspel;;;EA;1;1;;;V;;;;
K8-4;Hal-washok;Wasmachinekraan;;;EA;1;1;;;V;;;;
K8-5;Kamer;Brandslanghaspel;;;EA;1;1;;;V;;;;
;Kapellaan 10;;;;;;;;;;;;;
;Begane grond;;;;;;;;;;;;;
1a;Tuin;Buitenkraan;;;EA;1;1;;;V;;;;
K10-1;Keuken;Wasmachinekraan vw;;;EA;1;1;;;V;;;;
K10-2;Keuken;Buitenkraan;;;EA;1;1;;;V;;;;
K10-3;Kamer;Brandslanghaspel;;;EA;1;1;;;V;;;;
K10-4;Gang kamers;Brandslanghaspel;;;EA;1;1;;;V;;;;
K10-5;Washok;Wasmachinekraan;;;EA;1;1;;;V;;;;
5a;Washok;Wasmachinekraan;;;EA;1;1;;;V;;;;
;1e verdieping;;;;;;;;;;;;;
K10-6;Installatieruimte;Vulkraan;;;CA;1;1;;;V;;;;
K10-7;;Circulatieleiding (perszijde pomp) ;;;EA;1;1;;;V;;;;
K10-8;;Inlaatcombinatie;;;EA;1;;;1;V;;;;
;;;;;;;;;;;;;;
;Schoolhof 2;;;;;;;;;;;;;
;Begane grond;;;;;;;;;;;;;
S2-1;Hal-washok;Wasmachinekraan;;;EA;1;1;;;V;;;;
S2-2;Keuken;Wasmachinekraan vw;;;EA;1;1;;;V;;;;
S2-3;Buiten voor;Buitenkraan;;;EA;1;1;;;V;;;;
S2-4;Kamer;Brandslanghaspel;;;EA;1;1;;;V;;;;
S2-5;Gang kamers;Brandslanghaspel;;;EA;1;1;;;V;;;;
S2-6;Buiten achter;Buitenkraan;;;EA;1;1;;;V;;;;
;1e verdieping;;;;;;;;;;;;;
S2-7;Installatieruimte;Vulkraan;;;CA;1;;1;;V;;;;
S2-8;Installatieruimte;Circulatieleiding;;;EA;1;1;;;V;;;;
S2-9;Installatieruimte;Inlaatcombinatie;;;;1;;;1;V;;;;
;Schoolhof 4;;;;;;;;;;;;;
;Begane grond;;;;;;;;;;;;;
1a;Hal ;Watermeter;;;EA;1;1;;;V;;;;
S4-1;Hal;Brandslanghaspel;;;EA;1;1;;;V;;;;
S4-2;Hal-washok;Wasmachinekraan;;;EA;1;1;;;V;;;;
S4-3;Keuken;Wasmachinekraan vw;;;EA;1;1;;;V;;;;
S4-4;Gang kamers;Brandslanghaspel;;;EA;1;1;;;V;;;;
S4-5;Kamer;Brandslanghaspel;;;EA;1;1;;;V;;;;
;Schoolhof 6;;;;;;;;;;;;;
;Begane grond;;;;;;;;;;;;;
S6-1;Installatieruimte;Vulkraan;;;EA;1;1;;;V;;;;
S6-2;Installatieruimte;Circulatieleiding;;;EA;1;1;;;V;;;;
S6-3;Installatieruimte;Inlaatcombinatie;;;EA;1;1;;;V;;;;
S6-4;Washok;Wasmachinekraan;;;EA;1;1;;;V;;;;
S6-5;Keuken;Wasmachinekraan vw;;;EA;1;1;;;V;;;;
S6-6;Keuken;Buitenkraan achter;;;EA;1;1;;;V;;;;
S6-7;Voorkant;Buitenkraan voor;;;EA;1;1;;;V;;;;
8;Meterkast;Watermeter;;;EA;1;1;;;V;;;;
;Zuster victioriapad 2;;;;;;;;;;;;;
;Begane grond;;;;;;;;;;;;;
Z2-1;Meterkast;Watermeter;;;EA;1;1;;;V;;;;
Z2-2;Meterkast;Brandslanghaspel;;;EA;1;1;;;V;;;;
Z2-3;Washok;Wasmachinekraan;;;EA;1;1;;;V;;;;
Z2-4;Keuken;Wasmachinekraan vw;;;EA;1;1;;;V;;;;
Z2-5;Keuken;Buitenkraan;;;EA;1;1;;;V;;;;
;1e verdieping;;;;;;;;;;;;;
Z2-6;installatieruimte;Inlaatcombinatie;;;;1;;;1;V;;;;
Z2-7;Installatieruimte;Vulkraan;;;EA;1;1;;;V;;;;
Z2-8;Installatieruimte;Warmwaterkraan;;;EA;1;1;;;V;;;;
Z2-9;Installatieruimte;Circulatieleiding;;;EA;1;1;;;V;;;;
;Zuster victioriapad 4;;;;;;;;;;;;;
;Begane grond;;;;;;;;;;;;;
1a;Meterkast;Watermeter;;;EA;1;1;;;V;;;;
Z4-1;Meterkast (grote);Watermeter;;;EA;1;1;;;V;;;;
Z4-2;Meterkast;Brandslanghaspel;;;EA;1;1;;;V;;;;
Z4-3;Washok;Wasmachinekraan;;;EA;1;1;;;V;;;;
Z4-4;Keuken;Wasmachinekraan vw;;;EA;1;1;;;V;;;;
Z4-5;Keuken;Buitenkraan;;;EA;1;1;;;V;;;;
;1e verdieping;;;;;;;;;;;;;
Z4-6;installatieruimte;Inlaatcombinatie;;;;1;;;1;V;;;;
Z4-7;Installatieruimte;Vulkraan;;;EA;1;1;;;V;;;;
Z4-8;Installatieruimte;Circulatieleiding;;;EA;1;1;;;V;;;;
;;;;;;;;;;;;;;
;;;;Totaal aantal per type;;;53;2;4;;;;;
;;;;;;;;;;;;;;
;;;;Totaal aantal ;;59;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
