Inventarisatie tappunten waterleiding;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Object;;St Anna ;;;;;;;;;;;;
Opdrachtgever;;RIF FM BV ;Tel nr locatie:;0475-579700 (laten doorverbinden);;;;;;;;;;
Adres;;Julianastraat 22;Contactpersoon:;Andy Smals;;;;;;;;;;
Woonplaats;;Heel;Datum opname:;Week 28, 2015;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Contr.;Ruimte;Apparatuur/      ;Type;Aanwezige;Bev.;Totaal;;;;Goedgekeurd;Afgekeurd;Opmerkingen;;
Nr.;Nr.;Aansluiting/;;Beveiliging;Code;aantal;EA;CA;Inlaat;;;;;
;;Merk;;;;;;;;;;;;
;Begane grond;;;;;;;;;;;;;
1;Keuken;Wasmachinekraan;;Contr. KK;EA;1;1;;;;;;;
2;Washok;Wasmachinekraan;;Contr. KK;EA;1;1;;;;;;;
3;Buiten;Buitenkraan;;;EA;1;1;;;;;;;
;Zolder;;;;;;;;;;;;;
5;CV Ruimte;Boiler;;Inlaatcombinatie;;1;;;1;;;;;
7;;Circulatieleiding (perszijde pomp);;Contr. KK;EA;1;1;;;;;;;
8;;CV Vulpunt;;Contr. KK;EA;1;1;;;;;;;
;;;;;;;;;;;;;;
;;;;Totaal aantal per type;;;5;0;1;;;;;
;;;;;;;;;;;;;;
;;;;Totaal aantal ;;6;;;;;;;;
