Inventarisatie tappunten waterleiding;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Object;;St Anna ;;;;;;;;;;;;
Opdrachtgever;;RIF FM BV ;Tel nr locatie:;0475-579700 (doorverbinden);;;;;;;;;;
Adres;;Penbalk 2;Contactpersoon:; ---;;;;;;;;;;
Woonplaats;;Weert;Datum opname:;jun-15;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Contr.;Ruimte;Apparatuur/      ;Type;Aanwezige;Bev.;Totaal;;;;Goedgekeurd;Afgekeurd;Opmerkingen;;
Nr.;Nr.;Aansluiting/;;Beveiliging;Code;aantal;EA;CA;Inlaat;;;;;
;;Merk;;;;;;;;;;;;
1;BG Keuken;Wasmachine kraan;;;EA;1;1;;;V;;;;
2;BG Washok;Wasmachine kraan;;;EA;1;1;;;V;;;;
3;BG Buiten;Buitenkraan achter;;;;1;;;;V;;;;
4;1e CV ruimte;Vulkraan;;;CA;1;;1;;V;;;;
5;1e CV ruimte;Circulatieleiding;;;EA;1;1;;;V;;;;
6;1e CV ruimte;Inlaatcombinatie;;;;1;;;;V;;;;
;;;;;;;;;;;;;;
;;;;Totaal aantal per type;;;3;1;0;;;;;
;;;;;;;;;;;;;;
;;;;Totaal aantal ;;6;;;;;;;;
