Inventarisatie tappunten waterleiding;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Object;;St Anna ;;;;;;;;;;;;
Opdrachtgever;;RIF FM BV ;Tel nr locatie:;0475-579700 (laten doorverbinden);;;;;;;;;;
Adres;;Julianastraat 20;Contactpersoon:; ---;;;;;;;;;;
Woonplaats;;Heel;Datum opname:;Week 28, 2015;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Contr.;Ruimte;Apparatuur/      ;Type;Aanwezige;Bev.;Totaal;;;;Goedgekeurd;Afgekeurd;Opmerkingen;;
Nr.;Nr.;Aansluiting/;;Beveiliging;Code;aantal;EA;CA;Inlaat;;;;;
;;Merk;;;;;;;;;;;;
;Begane grond;;;;;;;;;;;;;
1;Keuken;Wasmachinekraan;;;EA;1;1;;;V;;;;
2;Washok;Wasmachinekraan;;;EA;1;1;;;V;;;;
3;Buiten achter;Buitenkraan;;;EA;1;1;;;V;;;;
;Zolder;;;;;;;;;;;;;
5;CV Ruimte;Boiler;;Inlaatcombinatie;;1;;;1;V;;;;
7;;Circulatieleiding (perszijde pomp);;Contr. KK;EA;1;1;;;V;;;;
8;;CV Vulpunt;;Contr. KK;EA;1;1;;;V;;;;
;;;;;;;;;;;;;;
;;;;Totaal aantal per type;;;5;0;1;;;;;
;;;;;;;;;;;;;;
;;;;Totaal aantal ;;6;;;;;;;;
