Inventarisatie tappunten waterleiding;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Object;;St Anna;;;;;;;;;;;;
Opdrachtgever;;RIF FM BV ;Tel nr locatie:;06-51793296;;;;;;;;;;
Adres;;Markt 1;Contactpersoon:;Mevr N van Lieshout;;;;;;;;;;
Woonplaats;;Maasbracht;Datum opname:;Week 28, 2015;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Contr.;Ruimte;Apparatuur/      ;Type;Aanwezige;Bev.;Totaal;;;;Goedgekeurd;Afgekeurd;Opmerkingen;;
Nr.;Nr.;Aansluiting/;;Beveiliging;Code;aantal;EA;CA;Inlaat;;;;;
;;Merk;;;;;;;;;;;;
1;BG Winkel;Brandslanghaspel;;;;1;;;;V;;;;
2;BG Winkel;Koffie apparaat;;Middelste kast;;1;;;;V;;;;
3;BG Winkel;Wasmachine kraan vaatwasser;;;;1;;;;V;;;;
4;BG Winkel;CV Ketel vulkraan;;;;1;;;;V;;;;
5;BG Winkel;CV Ketel inlaatcombinatie;;;;1;;;;V;;;;
6;BG  Berging Winkel;Boiler inlaatcombinatie;;;;1;;;;V;;;;
7;BG  Berging Winkel;Wasmachine kraan;;;;1;;;;V;;;;
;;;;;;;;;;;;;;
;;;;Totaal aantal per type;;;0;0;0;;;;;
;;;;;;;;;;;;;;
;;;;Totaal aantal ;;7;;;;;;;;
