Inventarisatie tappunten waterleiding;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Object;;St Anna ;;;;;;;;;;;;
Opdrachtgever;;RIF FM BV ;Tel nr locatie:;0475-579700;;;;;;;;;;
Adres;;Polderhof 15-17;Contactpersoon:;Dhr M van Gennip of Dhr J Beurskens;;;;;;;;;;
Woonplaats;;Heel;Datum opname:;Week 28, 2015;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Contr.;Ruimte;Apparatuur/      ;Type;Aanwezige;Bev.;Totaal;;;;Goedgekeurd;Afgekeurd;Opmerkingen;;
Nr.;Nr.;Aansluiting/;;Beveiliging;Code;aantal;EA;CA;Inlaat;;;;;
;;Merk;;;;;;;;;;;;
1;Meterkast;Aftakking naar BSH’s;;Contr. KK;EA;1;1;;;a;;;;
;Inham gang toiletten badkamer rechts;;;;;;;;;;;;;
5;CV (installatie) ruimte;Boiler;AO Smith 200 l;Inlaatcombinatie;;1;;;1;a;;;;
6;;CV vulpunt;;Onderbr. Met verschildruk-zone;CA;1;;1;;a;;;;
8;Natuurhof 2;Close in boiler;Daalderop 10 liter;Inlaatcombinatie;;1;;;1;a;;;;
9;Natuurhof 10;Vaatwasser;;;;1;1;;;a;;Nieuwe EA keerklep geplaatst;;
10;Natuurhof 11;Close in boiler;Daalderop 10 liter;Inlaatcombinatie;;1;;;1;a;;;;
11;Natuurhof 7;Close in boiler;Daalderop 10 liter;Inlaatcombinatie;;1;;;1;a;;;;
12;Natuurhof 8;Close in boiler;Daalderop 10 liter;Inlaatcombinatie;;1;;;1;a;;;;
13;Natuurhof 4;Close in boiler;Daalderop 10 liter;Inlaatcombinatie;;1;;;1;a;;;;
14;Natuurhof 2;Close in boiler;Daalderop 10 liter;Inlaatcombinatie;;1;;;1;a;;;;
15;Natuurhof 9;Close in boiler;Daalderop 10 liter;Inlaatcombinatie;;1;;;1;a;;;;
16;Natuurhof 2;Vaatwasser;EA;;;1;1;;;a;;;;
17;Natuurhof 3;Boiler;Daalderop 10 liter;Inlaatcombinatie;;1;;;1;a;;;;
;;;;;;;;;;;;;;
;;;;Totaal aantal per type;;;3;1;9;;;;;
;;;;;;;;;;;;;;
;;;;Totaal aantal ;;13;;;;;;;;
