;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Cello;;Naam monteur:;J. Verhagen;;;;;Slangenhaspels-water;;
Locatie:;­;;Datum:;4-1-2015;;;;;Blusdekens;;
Adres:;Chansonstraat 48, Rosmalen;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
0-1;Ingang 50;Saval;BSH 30m;Water;2010;2015;32 l/min;a;;;
0-2;Ingang 48;Saval;BSH 30m;Water;2010;2015;36 l/min;a;;;
2;Ingang 48;Moyne Roberts;MF-60;Schuim;2012;;;a;;;
1;Ingang 50;Moyne Roberts;MF-60;Schuim;2014;;;a;;;
1-1;1e verdieping 50;Moyne Roberts;MF-60;Schuim;2014;;;a;;;
2-1;2e verdieping 50;Moyne Roberts;MF-60;Schuim;2014;;;a;;;
1-2;1e verdieping 48;Moyne Roberts;MF-60;Schuim;2012;;;a;;;
0-3;1e verdieping 48;Saval;BSH 30m;Water;2010;2015;32 l/min;a;;;
0-4;2e verdieping 48;Saval;BSH 30m;Water;2010;2015;28 l/min;a;;;
2-2;2e verdieping 48;Moyne Roberts;MF-60;Schuim;2012;;;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
