;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;BrabantWonen;;Naam monteur:;J. Verhagen;;;;;Slangenhaspels-water;;
Locatie:;ZC Wilberthof;;Datum:;6-1-2015;;;;;Blusdekens;;
Adres:;Den Dries 1 Berghem;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
0-1;Bij kamer nr.21;Saval;B.S.H. 25m;Water;1983;2015;28 l/min;a;;;
0-2;Bij zij-ingang;Saval;B.S.H. 20m;Water;1983;2015;32 l/min;a;;;
0-2a;Bij Werkplaats T.D.;BCO;EFS 6;Schuim;2013;;;a;;;
0-3;Bij ingang Den Herd;Saval;B.S.H. 20m;Water;1983;2015;32 l/min;a;;;
0-3a;Bij Receptie;BCO;EFS 6;Schuim;2013;;;a;;;
0-3b;In keuken;Ansul;CO2 C5;CO2;1995;;; ×;Overjaard;;
0-3c;In keuken;BCO;EWCS6;wet chemical;2013;;;a;;;
0-3d;Werkplaats;BCO;EFS 6;Schuim;2013;;;a;;;
0-4;Bij kamer nr. 5;Saval;B.S.H. 25m;Water;1983;2015;32 l/min;a;;;
0-5;In kapel b.g.;Saval;B.S.H. ;Water;onbekend;2015;36 l/min;a;;;
0-5a;In kapel b.g.;BCO;EFS 6;Schuim;2013;;;a;;;
0-5b;Trappenhuis kapel 1e;BCO;EFS 6;Schuim;2013;;;a;;;
0-5c;Trappenhuis kapel 2e;BCO;EFS 6;Schuim;2013;;;a;;;
0-6;Bij ketelhuis verd. 2;Saval;B.S.H. 25m;Water;onbekend;2015;32 l/min;a;Geen knikveer;;
0-7;Trappenhuis kapel 2e;Saval;B.S.H. 25m;Water;onbekend;2015;28 l/min;a;;;
1-1;Bij kamer nr. 42;Saval;B.S.H. 25m;Water;1983;2015;32 l/min;a;;;
1-2;Bij groepsverzorging 1e;Saval;B.S.H. 20m;Water;1983;2015;36 l/min;a;;;
1-3;Bij kamer nr. 23 1e;BCO;EFS 6;Schuim;2013;;;a;;;
1-4;Bij kamer nr. 25 1e;Saval;B.S.H. 25m;Water;1983;2015;36 l/min;a;;;
1-5;Zolder naast lift 1e;Saval;AK5;CO2;1996;;;a;;;
1-6;In ketelhuis zolder;Saval;AK5;CO2;2001;;;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
