Inventarisatie tappunten waterleiding;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Object;;De Hondsberg BUVO 73-75 Oisterwijk;;;;;;;;;;;;
Opdrachtgever;;RIF FM BV ;Tel nr locatie:;013-5232830;;;;;;;;;;
Adres;;Burg Vogelslaan 73-75;Contactpersoon:;Dhr N van Velzen;;;;;;;;;;
Woonplaats;;Oisterwijk;Datum opname:;Week 25, 2015;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Contr.;Ruimte;Apparatuur/      ;Type;Aanwezige;Bev.;Totaal;;;;Goedgekeurd;Afgekeurd;Opmerkingen;;
Nr.;Nr.;Aansluiting/;;Beveiliging;Code;aantal;EA;CA;Inlaat;;;;;
;;Merk;;;;;;;;;;;;
;Burg. Vogelslaan 73;;;;;;;;;;;;;
;Begane grond;;;;;;;;;;;;;
1;Buiten bij entree;Buitenkraan;;Contr.KK ;EA;1;1;;;a;;;;
3;Gang nabij entree;Brandslanghaspel;;Contr. KK;EA;1;1;;;a;;;;
4;Einde gang bij kamers;Brandslanghaspel;;Contr. KK;EA;1;1;;;a;;;;
2;Badkamer 1;Wasmachine;;;;;;;;;;;;
5A;;Buitenkraan;;Contr. KK;EA;1;1;;;a;;;;
;1e verdieping;;;;;;;;;;;;;
6;Installatie ruimte;CV vulpunt;;;;;;;;a;;;;
7;;Boiler;Remeha Quinta + NIBE PUB2 DS2 300L;Inlaatcombinatie;;1;;;1;a;;;;
17;;Circulatieleiding (perszijde pomp);;Contr. KK;EA;1;1;;;a;;;;
;Burg. Vogelslaan 75;;;;;;;;;;;;;
8;Buiten bij entree;Buitenkraan (klep in meterput);;Contr.KK ;EA;1;1;;;a;;;;
9;Buiten tuin;Buitenkraan;;Contr.KK ;EA;1;1;;;a;;;;
10;Gang nabij entree;Brandslanghaspel;;Contr. KK;EA;1;1;;;a;;;;
11;Einde gang bij kamers;Brandslanghaspel;;Contr. KK;EA;1;1;;;a;;;;
12;Badkamer 1;Wasmachine;;;;;;;;a;;;;
;1e verdieping;;;;;;;;;;;;;
13;Installatie ruimte;CV vulpunt;;;;;;;;a;;;;
14;;Boiler;Remeha Quinta + NIBE PUB2 DS2 300L;Inlaatcombinatie;;1;;;1;a;;;;
18;;Circulatieleiding (perszijde pomp);;Contr. KK;EA;1;1;;;a;;;;
;;;;;;;;;;;;;;
;;;;Totaal aantal per type;;;10;0;2;;;;;
;;;;;;;;;;;;;;
;;;;Totaal aantal ;;16;;;;;;;;
