Inventarisatie tappunten waterleiding;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Object;;De Hondsberg centraal terrein Oisterwijk;;;;;;;;;;;;;
Opdrachtgever;;RIF FM BV ;Tel nr locatie:;013-5232830;;;;;;;;;;;
Adres;;Hondsberg 5;Contactpersoon:;Dhr N van Velzen;;;;;;;;;;;
Woonplaats;;Oisterwijk;Datum opname:;Week 26, 2015;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Contr.;Ruimte;Apparatuur/      ;Type;Aanwezige;Bev.;Totaal;;;;;Goedgekeurd;Afgekeurd;Opmerkingen;;
Nr.;Nr.;Aansluiting/;;Beveiliging;Code;aantal;EA;CA;Inlaat;BA;;;;;
;;Merk;;;;;;;;;;;;;
;Hoofdgebouw;;;;;;;;;;;;;;
;3e Verdieping;;;;;;;;;;;;;;
;Pantry;Vaatwasser;;;;;;;;;;;;;
1a;;;;Contr. KK ;EA;1;1;;;;a;;;;
2;;Koffie apparaat;;;;;;;;;a;;;;
;;;;Contr. KK ;EA;1;1;;;;;;;;
3;;Close in Boiler;Daalderop close in 10;Inlaatcombinatie;;1;;;1;;a;;;;
4;;Brandslanghaspel;;Contr. KK ;EA;1;1;;;;a;;;;
5;Gang nabij toiletten;Brandslanghaspel;;Contr. KK;EA;1;1;;;;a;;;;
6;Installatieruimte;CV vulpunt;;Onderbr. Met verschildruk-zone;CA;1;;1;;;a;;;;
;2e Verdieping;;;;;;;;;;;;;;
;Pantry;Vaatwasser;;;;;;;;;;;;;
7a;;;;Contr. KK ;EA;1;1;;;;a;;;;
;;Koffie apparaat;;;;;;;;;;;;;
8a;;;;Contr. KK ;EA;1;1;;;;a;;;;
9;;Close in Boiler;Daalderop close in 10;Inlaatcombinatie;;1;;;1;;a;;;;
10;;Brandslanghaspel;;Contr. KK ;EA;1;1;;;;a;;;;
11;Gang nabij toiletten;Brandslanghaspel;;Contr. KK;EA;1;1;;;;a;;;;
;1e Verdieping;;;;;;;;;;;;;;
12;Pantry;Vaatwasser;;Contr. KK ;EA;1;1;;;;a;;;;
;;;;;;;;;;;;;;;
13;;Koffie apparaat;;Contr. KK ;EA;1;1;;;;a;;;;
15;;Brandslanghaspel;;Contr. KK ;EA;1;1;;;;a;;;;
16;Gang nabij toiletten;Brandslanghaspel;;Contr. KK;EA;1;1;;;;a;;;;
24;Afwasruimte;Spoelkraan ww;;;EA;1;1;;;;a;;;;
25;Afwasruimte;Spoelkraan kw;;;1;1;;;;;a;;;;
;Begane Grond;;;;;;;;;;;;;;
17;Werkkast schoonmaak-dienst;Boiler;Daalderop duo koper 50 l ;Inlaatcombinatie;;1;;;1;;a;;;;
18;Gang nabij toilet algemeen;Brandslanghaspel;;Contr. KK;EA;1;1;;;;a;;;;
;Pantry;Vaatwasser;;;;;;;;;;;;;
19a;;;;Contr. KK ;EA;1;1;;;;a;;;;
21;;Close in Boiler;Daalderop close in 10;Inlaatcombinatie;;1;;;1;;a;;;;
22;;Brandslanghaspel;;Contr. KK ;EA;1;1;;;;a;;;;
;Restaurant;;;;;;;;;;;;;;
23;Restaurant;Keukentje in zaal;Close-in ;Inlaatcombinatie;;1;;;1;;a;;;;
26;;Bain Marie vulpunt;;Contr. KK;EA;1;1;;;;a;;;;
27;;Brandslanghaspel;;Contr. KK;EA;1;1;;;;a;;;;
28;Afwasruimte;Industr. Vaatwasser;;Onderbr. Met verschildruk-zone;CA;1;;1;;;a;;;;
29;;Handknijpdouche;;Contr. KK (KW);EA;1;1;;;;a;;;;
29a;;;;Contr. KK (WW);EA;1;1;;;;a;;;;
29b;;Handenwasbak 1;;Contr. KK (KW);EA;1;1;;;;a;;;;
29c;;;;Contr. KK (WW);EA;1;1;;;;a;;;;
29d;;Handenwasbak 2;;Contr. KK (KW);EA;1;1;;;;a;;;;
29e;;;;Contr. KK (WW);EA;1;1;;;;a;;;;
;Transportmiddelen ruimte;;;;;;;;;;;;;;
31;;Wasmachine;;Contr. KK ;EA;1;1;;;;a;;;;
32;Gang;Brandslanghaspel;;Contr. KK;EA;1;1;;;;a;;;;
33;Gang naast ingang kleedruimte Dames;Brandslanghaspel;;Contr. KK;EA;1;1;;;;a;;;;
34a;Warme keuken;Kookketel;;Contr. KK kw;EA;1;1;;;;a;;;;
34b;Warme keuken;Kookketel;;Contr. KK ww;EA;1;1;;;;a;;Sticker achter plaat;;
35a;;Mengventiel ;;Contr. KK (KW);EA;1;1;;;;a;;;;
35b;;;;Contr. KK;EA;1;1;;;;a;;;;
;;;;(WW);;;;;;;;;;;
36;;Aansluitleiding steamer 1;;Contr. KK;EA;1;1;;;;a;;;;
37;;Aansluitleiding steamer 2;;Contr. KK;EA;1;1;;;;a;;;;
;Zwembad installatie ruimte;;;;;;;;;;;;;;
40;;Brandslanghaspel;;Contr. KK;EA;1;1;;;;a;;;;
162;;Boiler;NIBE EKS 500;Inlaatcombinatie;;1;;;1;;a;;;;
182a;;Sjuntleiding over boiler;;Contr. KK;EA;1;1;;;;a;;;;
182;;Circulatieleiding (perszijde pomp);;Contr. KK;EA;1;1;;;;a;;;;
41;Buiten bij installatieruimte;Buitenkraan;;Contr. KK ;EA;1;1;;;;a;;;;
