Inventarisatie tappunten waterleiding;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Object;;De la Salle;;;;;;;;;;;;
Opdrachtgever;;RIF FM BV ;Tel nr locatie:;06-13545368;;;;;;;;;;
Adres;;Stationstraat 3A;Contactpersoon:;Nico Hermkens;;;;;;;;;;
Woonplaats;;Rosmalen;Datum opname:;Week 25, 2015;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Contr.;Ruimte;Apparatuur/      ;Type;Aanwezige;Bev.;Totaal;;;;Goedgekeurd;Afgekeurd;Opmerkingen;;
Nr.;Nr.;Aansluiting/;;Beveiliging;Code;aantal;EA;CA;Inlaat;;;;;
;;Merk;;;;;;;;;;;;
1;Meterkast 2;Aansluitleiding CV vulpunt;;Contr. KK (nog niet aanwezig !!);EA;1;1;;;a;;;;
2;;CV Combi ketel;;Inlaatcombinatie;;1;;;1;a;;;;
;;;;;;;;;;;;;;
;;;;Totaal aantal per type;;;1;0;1;;;;;
;;;;;;;;;;;;;;
;;;;Totaal aantal ;;2;;;;;;;;
