Inventarisatie tappunten waterleiding;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Object;;De la Salle;;;;;;;;;;;;
Opdrachtgever;;RIF FM BV ;Tel nr locatie:;06-13545368;;;;;;;;;;
Adres;;Looakker 7;Contactpersoon:;Nico Hermkens;;;;;;;;;;
Woonplaats;;Boxtel;Datum opname:;Week 24, 2015;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Contr.;Ruimte;Apparatuur/      ;Type;Aanwezige;Bev.;Totaal;;;;Goedgekeurd;Afgekeurd;Opmerkingen;;
Nr.;Nr.;Aansluiting/;;Beveiliging;Code;aantal;EA;CA;Inlaat;;;;;
;;Merk;;;;;;;;;;;;
;Huis 1 (links) BGG;;;;;;;;;;;;;
1;Meterkast;Watermeter;;Contr. KK;EA;1;1;;;a;;;;
2;Gang;Brandslanghaspel;;Contr. KK;EA;1;1;;;a;;;;
3;Keuken;Vaatwasser;;Beluchterkraan;DA;;;;;;;;;
3;Keuken;Vaatwasser;;Contr. KK;EA;1;1;;;a;;;;
5;Washok;Wasmachine;;Beluchterkraan;DA;;;;;;;;;
4;Washok;Wasmachine;;Contr. KK;EA;1;1;;;a;;;;
7;Washok;CV vulpunt;;Beluchterkraan;DA;;;;;;;;;
5;Washok;CV vulpunt;;Contr. KK;EA;1;1;;;a;;;;
6;Washok;CV combi ketel;;Inlaatcombinatie;;1;;;1;a;;;;
7;Washok;Aansluiting buitenkraan;;Contr. KK;EA;1;1;;;a;;;;
;Huis 2 (rechts) BGG;;;;;;;;;;;;;
8;Meterkast;Watermeter;;Contr. KK;EA;1;1;;;a;;;;
9;Gang;Brandslanghaspel;;Contr. KK;EA;1;1;;;a;;;;
13;Keuken;Vaatwasser;;Beluchterkraan;DA;;;;;;;;;
10;Keuken;Vaatwasser;;Contr. KK;EA;1;1;;;a;;;;
15;Kamer 1;CV vulpunt;;Beluchterkraan;DA;;;;;;;;;
11;Kamer 2;CV vulpunt;;Contr. KK;EA;1;1;;;a;;;;
12;;CV combi ketel;;Inlaatcombinatie;;1;;;1;a;;;;
;2e verdieping;;;;;;;;;;;;;
18;CV kast overloop;CV vulpunt;;Beluchterkraan;DA;;;;;;;;;
13;CV kast overloop;CV vulpunt;;Contr. KK;EA;1;1;;;a;;;;
14;;CV combi ketel;;Inlaatcombinatie;;1;;;1;a;;;;
;;;;;;;;;;;;;;
;;;;Totaal aantal per type;;;11;0;3;;;;;
;;;;;;;;;;;;;;
;;;;Totaal aantal ;;14;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
