Inventarisatie tappunten waterleiding;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Object;;De la Salle;;;;;;;;;;;;
Opdrachtgever;;RIF FM BV ;Tel nr locatie:;0413-261460;;;;;;;;;;
Adres;;Broekmorgen 21-23-25;Contactpersoon:; ---;;;;;;;;;;
Woonplaats;;Uden;Datum opname:;Week 25, 2015;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Contr.;Ruimte;Apparatuur/      ;Type;Aanwezige;Bev.;Totaal;;;;Goedgekeurd;Afgekeurd;Opmerkingen;;
Nr.;Nr.;Aansluiting/;;Beveiliging;Code;aantal;EA;CA;Inlaat;;;;;
;;Merk;;;;;;;;;;;;
;Broekmorgen 21 zolder;;;;;;;;;;;;;
12;CV ruimte Zolder;CV combi ketel;;Inlaatcombinatie;;1;;;1;a;;;;
13;;CV vulpunt;;Contr. KK;EA mu;1;1;;;a;;;;
;Broekmorgen 23 BGG;;;;;;;;;;;;;
1;Kruipruimte ;Watermeter ;Qn 6,3;Contr. KK;EA;1;1;;;a;;;;
2;;Buitenkraan;;Contr. KK;EA;1;1;;;a;;;;
3;;Aansluitleiding naar woningen 21;;Contr. KK;EA;1;1;;;a;;;;
4;;Aansluitleiding naar woningen 25;;Contr. KK;EA;1;1;;;a;;;;
;Broekmorgen 23 zolder;;;;;;;;;;;;;
11;CV ruimte Zolder;CV combi ketel;;Inlaatcombinatie;;1;;;1;a;;;;
10;;CV vulpunt;;Contr. KK;EA mu;1;1;;;a;;;;
;Broekmorgen 25 BGG;;;;;;;;;;;;;
7;Keuken;Vaatwasser;;Contr. KK;EA;1;1;;;a;;;;
5;Washok;Wasmachine;;Contr. KK;EA;1;1;;;a;;;;
6;;Aftakking naar buitenkraan;;Contr. KK;EA;1;1;;;a;;;;
;Broekmorgen 25 zolder;;;;;;;;;;;;;
8;CV ruimte Zolder;CV combi ketel;;Inlaatcombinatie;;1;;;1;a;;;;
9;;CV vulpunt;;Contr. KK;EA mu;1;1;;;a;;;;
;;;;;;;;;;;;;;
;;;;Totaal aantal per type;;;10;0;3;;;;;
;;;;;;;;;;;;;;
;;;;Totaal aantal ;;13;;;;;;;;
