Inventarisatie tappunten waterleiding;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Object;;De la Salle Buitenrust  Oisterwijk;;;;;;;;;;;;
Opdrachtgever;;RIF FM BV ;Tel nr locatie:;06-13545368;;;;;;;;;;
Adres;;Rosephdreef 4 A;Contactpersoon:;Dhr H Hermkens;;;;;;;;;;
Woonplaats;;Oisterwijk;Datum opname:;jun-14;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Contr.;Ruimte;Apparatuur/      ;Type;Aanwezige;Bev.;Totaal;;;;Goedgekeurd;Afgekeurd;Opmerkingen;;
Nr.;Nr.;Aansluiting/;;Beveiliging;Code;aantal;EA;CA;Inlaat;;;;;
;;Merk;;;;;;;;;;;;
1;Boiler ruimte;Boiler;Daalderop;Inlaatcombinatie;;1;;;1;a;;;;
2;Activiteitenruimte;Brandslanghaspel;;Contr. KK;EA;1;1;;;a;;;;
3;Buiten;Buitenkraan;;Contr. KK;EA;1;1;;;a;;In put;;
;;;;;;;;;;;;;;
;;;;Totaal aantal per type;;;2;0;1;;;;;
;;;;;;;;;;;;;;
;;;;Totaal aantal ;;3;;;;;;;;
