;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Kemkens - Gemeente Oss;;Naam monteur:;M. Gutte;;;;;Slangenhaspels-water;;
Locatie:;Horizonschool de Meteoor;;Datum:;November, 2015;;;;;Blusdekens;;
Adres:;Oude Litherweg 18, Oss;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Reden afkeur;;
1;Gang bij toilet 2231;Ajax;BSH 25;Water ;2007;2012;40 l;a;;;
2;Gang bij 2225;Ajax;BSH 30;Water ;2008;2013;34 l;a;;;
3;Gang bij 2006;Ajax;BSH 20;Water ;2003;2014;36 l;a;;;
4;Gang binnenkomst;Ajax;BSH 20;Water ;2003;2013;37 l;a;;;
5;Gang binnenkomst;Ansul;BSH 20;Water ;?;2014;24 l;a;;;
6;Gang berging 008;Ajax;BSH 20;Water ;?;2011;32 l;a;;;
7;Gang bij N020;Uro Flame;EFS 6;Schuim;2011;;;;;;
8;Gang ingang bij N022;Ajax;BSH 20;Water ;2003;2014;28 l;a;;;
9;Gang bij N002;Saval;BSH 25;Water ;2005;2014;35 l;a;;;
10;Gang Trrap[penhuis Bij Z004;Ajax;BSH;Water ;2003;2015;34 l;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;Controle blussers vindt om het jaar plaats. In opdracht van gemeente.;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
